expected,predicted,edgeid,term,closests_zero,closests_one,n_zeros,n_ones,tree
0,0.2107977524683444,5,GO:0005229,6,33,15,7,PTHR12308-1
0,0.19605782163245905,9,GO:0005229,6,31,15,7,PTHR12308-1
0,0.1990787809608352,45,GO:0005229,6,26,15,7,PTHR12308-1
0,0.17230721689969716,49,GO:0005229,6,24,15,7,PTHR12308-1
0,0.1958107557941755,64,GO:0005229,6,27,15,7,PTHR12308-1
0,0.19118893963170744,68,GO:0005229,6,25,15,7,PTHR12308-1
1,0.14617815799497505,88,GO:0005229,6,26,15,7,PTHR12308-1
0,0.5109787250121964,92,GO:0005229,17,6,15,7,PTHR12308-1
0,0.18772364048937323,105,GO:0005229,6,21,15,7,PTHR12308-1
0,0.15808076465141402,109,GO:0005229,6,19,15,7,PTHR12308-1
0,0.20407125357030523,128,GO:0005229,6,22,15,7,PTHR12308-1
0,0.18293702576744814,132,GO:0005229,6,20,15,7,PTHR12308-1
1,0.7224534516461844,163,GO:0005229,23,5,15,7,PTHR12308-1
1,0.8646206207495295,166,GO:0005229,22,2,15,7,PTHR12308-1
1,0.8811865150486863,167,GO:0005229,22,2,15,7,PTHR12308-1
1,0.5924977087472663,185,GO:0005229,24,6,15,7,PTHR12308-1
1,0.6202821449694464,189,GO:0005229,22,6,15,7,PTHR12308-1
0,0.25141365958900264,211,GO:0005229,6,23,15,7,PTHR12308-1
0,0.2721420665094691,215,GO:0005229,6,21,15,7,PTHR12308-1
1,0.29828903220195624,242,GO:0005229,21,21,15,7,PTHR12308-1
0,0.19510740719017436,360,GO:0005229,6,30,15,7,PTHR12308-1
0,0.20396261138631125,364,GO:0005229,6,28,15,7,PTHR12308-1
1,0.8554318481543786,5,GO:0005886,30,6,1,13,PTHR12308-2
1,0.8416642634585646,9,GO:0005886,28,6,1,13,PTHR12308-2
1,0.7873289265447243,45,GO:0005886,27,21,1,13,PTHR12308-2
1,0.8013135049332075,64,GO:0005886,28,21,1,13,PTHR12308-2
1,0.8020983974795821,88,GO:0005886,27,21,1,13,PTHR12308-2
1,0.7935719263936721,105,GO:0005886,26,21,1,13,PTHR12308-2
1,0.8911918553563916,163,GO:0005886,27,5,1,13,PTHR12308-2
1,0.9386249825320008,166,GO:0005886,26,2,1,13,PTHR12308-2
1,0.9414976484258478,167,GO:0005886,26,2,1,13,PTHR12308-2
1,0.8534168919403436,185,GO:0005886,28,6,1,13,PTHR12308-2
1,0.8552526346334355,189,GO:0005886,26,6,1,13,PTHR12308-2
1,0.801061148420166,211,GO:0005886,28,24,1,13,PTHR12308-2
0,0.774217951063112,275,GO:0005886,NA,26,1,13,PTHR12308-2
1,0.765677442157764,360,GO:0005886,27,33,1,13,PTHR12308-2
0,0.553280578422269,9,GO:0017128,31,28,5,6,PTHR12308-3
1,0.5001630260646347,49,GO:0017128,17,21,5,6,PTHR12308-3
0,0.5935091795550057,68,GO:0017128,32,17,5,6,PTHR12308-3
1,0.5156831169972778,92,GO:0017128,23,17,5,6,PTHR12308-3
1,0.5244719676479547,109,GO:0017128,22,17,5,6,PTHR12308-3
1,0.5293865909161743,132,GO:0017128,23,17,5,6,PTHR12308-3
0,0.5801596825410742,166,GO:0017128,18,22,5,6,PTHR12308-3
0,0.5504368041890311,189,GO:0017128,18,22,5,6,PTHR12308-3
1,0.4968401388107444,215,GO:0017128,22,26,5,6,PTHR12308-3
1,0.48383111234620785,282,GO:0017128,25,24,5,6,PTHR12308-3
0,0.5399218077250452,364,GO:0017128,31,25,5,6,PTHR12308-3
0,0.23090814697634587,100,GO:0001972,4,25,7,4,PTHR11926-1
0,0.2410719864375133,102,GO:0001972,4,25,7,4,PTHR11926-1
0,0.3116532411902217,105,GO:0001972,8,25,7,4,PTHR11926-1
0,0.33936413290897305,116,GO:0001972,9,26,7,4,PTHR11926-1
0,0.6045859676145148,250,GO:0001972,9,8,7,4,PTHR11926-1
1,0.4021354615624342,255,GO:0001972,2,2,7,4,PTHR11926-1
1,0.389084271307712,257,GO:0001972,2,2,7,4,PTHR11926-1
0,0.8568772648467324,258,GO:0001972,9,2,7,4,PTHR11926-1
