substring,term,yes,no
PTHR12308,GO:0005229,7,15
PTHR11926,GO:0015020,21,10
PTHR11926,GO:0001972,4,7
PTHR10788,GO:0003825,9,6
PTHR10788,GO:0004805,6,6
PTHR10048,GO:0006935,2,5
PTHR10424,GO:0045026,4,5
PTHR11258,GO:0001730,9,5
PTHR11394,GO:0001580,19,5
PTHR11394,GO:0033038,21,5
PTHR11769,GO:0001618,1,5
PTHR12308,GO:0017128,6,5
PTHR31062,GO:0033946,1,5
PTHR10024,GO:0005544,13,4
PTHR11177,GO:0004568,8,4
PTHR11347,GO:0006198,20,4
PTHR11360,GO:0008028,1,4
PTHR11738,GO:0001540,2,4
PTHR11769,GO:0004415,4,4
PTHR11960,GO:0008340,1,4
PTHR24070,GO:0030033,1,4
PTHR43795,GO:0016847,8,4
PTHR10125,GO:0004931,20,3
PTHR10169,GO:0005730,2,3
PTHR10638,GO:0008131,5,3
PTHR11437,GO:0051607,1,3
PTHR11467,GO:0005730,5,3
PTHR11929,GO:0046920,9,3
PTHR12174,GO:0006509,2,3
PTHR12271,GO:0071044,2,3
PTHR12300,GO:0005886,1,3
PTHR14950,GO:0035196,6,3
PTHR15012,GO:0000902,2,3
PTHR19139,GO:0005886,11,3
PTHR19443,GO:0004340,15,3
PTHR19443,GO:0008865,6,3
PTHR22891,GO:0035279,5,3
PTHR22891,GO:0090625,1,3
PTHR23115,GO:0005634,1,3
PTHR23255,GO:0050431,10,3
PTHR23359,GO:0004017,20,3
PTHR24115,GO:0007019,13,3
PTHR24228,GO:0043524,1,3
PTHR24299,GO:0018894,1,3
PTHR24343,GO:0005829,8,3
PTHR24347,GO:0004683,21,3
PTHR24416,GO:0004713,43,3
PTHR33146,GO:0000014,2,3
PTHR33146,GO:0043765,2,3
PTHR43391,GO:0047035,1,3
PTHR43968,GO:0004734,1,3
PTHR45679,GO:0004571,7,3
PTHR10024,GO:0005509,7,2
PTHR10024,GO:0008021,6,2
PTHR10024,GO:0019905,6,2
PTHR10048,GO:0046934,2,2
PTHR10082,GO:0007179,2,2
PTHR10082,GO:0043149,2,2
PTHR10209,GO:0052634,5,2
PTHR10218,GO:0008016,1,2
PTHR10285,GO:0004845,4,2
PTHR10438,GO:0080058,2,2
PTHR10516,GO:0060314,4,2
PTHR10663,GO:0032154,3,2
PTHR10689,GO:0001516,1,2
PTHR10689,GO:0050220,1,2
PTHR10696,GO:0050353,1,2
PTHR10730,GO:0006493,1,2
PTHR10730,GO:0033823,2,2
PTHR10802,GO:0005739,3,2
PTHR10836,GO:0009408,1,2
PTHR10961,GO:0051700,2,2
PTHR10977,GO:0005777,1,2
PTHR11054,GO:0017057,5,2
PTHR11085,GO:0006476,8,2
PTHR11085,GO:0042903,1,2
PTHR11085,GO:0090042,1,2
PTHR11109,GO:0003934,9,2
PTHR11132,GO:0005458,5,2
PTHR11132,GO:0005459,5,2
PTHR11132,GO:0005460,3,2
PTHR11237,GO:0006744,4,2
PTHR11254,GO:0005829,4,2
PTHR11256,GO:0043065,13,2
PTHR11346,GO:0045185,1,2
PTHR11346,GO:2001200,1,2
PTHR11359,GO:0003876,9,2
PTHR11361,GO:0016446,1,2
PTHR11361,GO:0042803,1,2
PTHR11407,GO:0003796,4,2
PTHR11455,GO:0003904,4,2
PTHR11455,GO:0003914,2,2
PTHR11461,GO:0004867,39,2
PTHR11486,GO:0005104,11,2
PTHR11486,GO:0008543,21,2
PTHR11492,GO:0003677,3,2
PTHR11532,GO:0004180,7,2
PTHR11532,GO:0006508,1,2
PTHR11566,GO:0005783,1,2
PTHR11566,GO:0030479,1,2
PTHR11575,GO:0008253,6,2
PTHR11588,GO:0005829,7,2
PTHR11595,GO:0005634,1,2
PTHR11610,GO:0005615,13,2
PTHR11610,GO:0016298,4,2
PTHR11690,GO:0015280,17,2
PTHR11706,GO:0010039,2,2
PTHR11731,GO:0008239,6,2
PTHR11778,GO:0004828,4,2
PTHR11783,GO:0080118,2,2
PTHR11926,GO:0010294,7,2
PTHR11931,GO:0004619,9,2
PTHR11932,GO:0019005,6,2
PTHR11960,GO:0031370,7,2
PTHR11972,GO:0000293,8,2
PTHR11977,GO:0051014,12,2
PTHR12001,GO:0006744,10,2
PTHR12027,GO:0060070,31,2
PTHR12174,GO:0031293,2,2
PTHR12419,GO:0004843,5,2
PTHR12419,GO:0016579,2,2
PTHR12542,GO:0005886,6,2
PTHR12659,GO:0005096,1,2
PTHR12663,GO:0005829,3,2
PTHR13140,GO:0001750,2,2
PTHR13140,GO:0001917,1,2
PTHR13140,GO:0045202,1,2
PTHR13866,GO:0005737,1,2
PTHR14110,GO:0005739,2,2
PTHR14140,GO:0032776,1,2
PTHR15035,GO:0035902,1,2
PTHR15241,GO:0005730,13,2
PTHR15241,GO:0009651,7,2
PTHR15282,GO:0005249,5,2
PTHR15696,GO:0016246,1,2
PTHR16466,GO:0031848,2,2
PTHR16675,GO:0042605,7,2
PTHR18898,GO:0000776,1,2
PTHR18966,GO:0001964,3,2
PTHR18966,GO:0050966,1,2
PTHR19321,GO:0005874,5,2
PTHR19375,GO:0009408,28,2
PTHR19443,GO:0004396,15,2
PTHR19918,GO:0005634,7,2
PTHR21087,GO:0004765,6,2
PTHR21191,GO:0006833,1,2
PTHR21562,GO:0006507,1,2
PTHR22891,GO:0004521,7,2
PTHR22950,GO:0005302,4,2
PTHR23001,GO:0005634,1,2
PTHR23058,GO:0007031,2,2
PTHR23113,GO:0030552,4,2
PTHR23189,GO:0045892,5,2
PTHR23235,GO:0045893,19,2
PTHR23255,GO:0003148,2,2
PTHR23281,GO:0008361,1,2
PTHR23342,GO:0003991,2,2
PTHR23500,GO:0015768,1,2
PTHR23500,GO:0055056,1,2
PTHR23500,GO:1904659,10,2
PTHR24015,GO:1900865,8,2
PTHR24070,GO:0043406,3,2
PTHR24072,GO:0046664,1,2
PTHR24073,GO:0006888,6,2
PTHR24073,GO:0006897,17,2
PTHR24073,GO:0060271,7,2
PTHR24081,GO:0043565,1,2
PTHR24084,GO:0004882,2,2
PTHR24084,GO:0030521,1,2
PTHR24123,GO:0050960,1,2
PTHR24221,GO:0005739,9,2
PTHR24226,GO:0005886,2,2
PTHR24248,GO:0060134,1,2
PTHR24350,GO:0042585,1,2
PTHR24351,GO:0008340,1,2
PTHR24361,GO:0004672,41,2
PTHR24361,GO:0006468,66,2
PTHR24361,GO:0030033,2,2
PTHR24366,GO:0042059,1,2
PTHR24372,GO:0004930,4,2
PTHR24373,GO:0009986,4,2
PTHR25462,GO:0005730,1,2
PTHR27008,GO:0004672,1,2
PTHR31682,GO:0052691,3,2
PTHR31699,GO:0050072,1,2
PTHR33921,GO:0009416,1,2
PTHR33921,GO:0070417,1,2
PTHR42861,GO:0005388,12,2
PTHR43172,GO:0004018,3,2
PTHR43243,GO:0015174,4,2
PTHR43391,GO:0004303,3,2
PTHR43444,GO:0006517,1,2
PTHR43444,GO:0009438,2,2
PTHR43719,GO:0004721,2,2
PTHR43719,GO:0010150,1,2
PTHR43903,GO:0060080,2,2
PTHR45619,GO:0005829,9,2
PTHR45620,GO:0032841,1,2
PTHR45633,GO:0009408,5,2
PTHR45633,GO:0044406,1,2
PTHR45640,GO:0051082,10,2
PTHR45674,GO:0006281,2,2
PTHR45701,GO:0008022,1,2
PTHR45701,GO:0070254,2,2
PTHR10005,GO:0030512,6,1
PTHR10015,GO:0071474,1,1
PTHR10024,GO:0001786,10,1
PTHR10024,GO:0005543,1,1
PTHR10024,GO:0016079,1,1
PTHR10024,GO:0042803,5,1
PTHR10024,GO:0046982,5,1
PTHR10026,GO:0005730,1,1
PTHR10030,GO:0015928,1,1
PTHR10048,GO:0005938,1,1
PTHR10048,GO:0035005,3,1
PTHR10052,GO:0005829,2,1
PTHR10052,GO:0022625,6,1
PTHR10063,GO:0005634,1,1
PTHR10071,GO:0045637,1,1
PTHR10071,GO:0060216,2,1
PTHR10082,GO:0007160,8,1
PTHR10110,GO:0005739,1,1
PTHR10110,GO:0006814,10,1
PTHR10110,GO:0015081,2,1
PTHR10117,GO:0015279,5,1
PTHR10131,GO:0050829,2,1
PTHR10151,GO:0030505,1,1
PTHR10155,GO:0001678,2,1
PTHR10159,GO:0005516,1,1
PTHR10169,GO:0000792,2,1
PTHR10169,GO:0005634,12,1
PTHR10169,GO:0005694,2,1
PTHR10173,GO:0005739,2,1
PTHR10188,GO:0003948,3,1
PTHR10196,GO:0004856,3,1
PTHR10201,GO:0034769,2,1
PTHR10209,GO:0019761,1,1
PTHR10209,GO:0052635,2,1
PTHR10218,GO:0007215,1,1
PTHR10219,GO:0046836,1,1
PTHR10250,GO:0004364,1,1
PTHR10256,GO:0004756,2,1
PTHR10270,GO:0007507,1,1
PTHR10277,GO:0003852,3,1
PTHR10283,GO:0008340,2,1
PTHR10292,GO:0000278,2,1
PTHR10292,GO:0005886,3,1
PTHR10314,GO:0020037,1,1
PTHR10328,GO:0046982,2,1
PTHR10336,GO:0045120,1,1
PTHR10340,GO:0004767,2,1
PTHR10340,GO:0006685,3,1
PTHR10352,GO:0005634,10,1
PTHR10353,GO:0016798,1,1
PTHR10372,GO:1990124,2,1
PTHR10407,GO:0005546,1,1
PTHR10430,GO:0008379,4,1
PTHR10438,GO:0009534,1,1
PTHR10438,GO:0015035,3,1
PTHR10454,GO:0005739,7,1
PTHR10457,GO:0004335,7,1
PTHR10460,GO:0018108,2,1
PTHR10462,GO:0001962,2,1
PTHR10462,GO:0030259,1,1
PTHR10462,GO:0033580,2,1
PTHR10476,GO:0006997,4,1
PTHR10476,GO:0007080,4,1
PTHR10476,GO:1901673,4,1
PTHR10501,GO:0005730,1,1
PTHR10502,GO:0005829,16,1
PTHR10502,GO:0035374,2,1
PTHR10514,GO:0008237,3,1
PTHR10514,GO:0008241,5,1
PTHR10516,GO:0019855,1,1
PTHR10516,GO:0051280,1,1
PTHR10516,GO:0060315,1,1
PTHR10517,GO:0005542,3,1
PTHR10574,GO:0016020,2,1
PTHR10582,GO:0047484,1,1
PTHR10593,GO:0044212,2,1
PTHR10603,GO:0002151,1,1
PTHR10609,GO:0005615,1,1
PTHR10615,GO:0005730,2,1
PTHR10615,GO:0043984,3,1
PTHR10623,GO:0000022,1,1
PTHR10625,GO:0017136,1,1
PTHR10628,GO:0005764,3,1
PTHR10648,GO:0005829,3,1
PTHR10649,GO:0004874,5,1
PTHR10658,GO:0008525,7,1
PTHR10670,GO:0008622,3,1
PTHR10670,GO:0033314,1,1
PTHR10689,GO:0005634,1,1
PTHR10694,GO:0032452,5,1
PTHR10694,GO:0032454,12,1
PTHR10694,GO:0033169,13,1
PTHR10763,GO:0005730,3,1
PTHR10778,GO:0000139,1,1
PTHR10778,GO:0005460,3,1
PTHR10778,GO:0015786,3,1
PTHR10797,GO:0000175,2,1
PTHR10799,GO:0005730,1,1
PTHR10799,GO:0006338,10,1
PTHR10799,GO:0006348,1,1
PTHR10809,GO:0006348,1,1
PTHR10809,GO:0007029,1,1
PTHR10825,GO:0097027,1,1
PTHR10829,GO:0051016,1,1
PTHR10836,GO:0009651,1,1
PTHR10836,GO:0034059,1,1
PTHR10838,GO:0008021,4,1
PTHR10851,GO:0004733,6,1
PTHR10853,GO:0004521,1,1
PTHR10857,GO:0045334,1,1
PTHR10865,GO:0004407,3,1
PTHR10865,GO:0016575,2,1
PTHR10865,GO:0060215,1,1
PTHR10871,GO:0005829,2,1
PTHR10871,GO:0009507,1,1
PTHR10877,GO:0001581,1,1
PTHR10877,GO:0033040,2,1
PTHR10877,GO:0071468,1,1
PTHR10887,GO:0003678,1,1
PTHR10887,GO:0005739,2,1
PTHR10887,GO:0005829,2,1
PTHR10887,GO:0016246,4,1
PTHR10887,GO:0035195,1,1
PTHR10890,GO:0004817,3,1
PTHR10953,GO:0004839,11,1
PTHR10953,GO:0019779,3,1
PTHR10953,GO:0035096,1,1
PTHR10971,GO:0007094,4,1
PTHR10985,GO:0071820,2,1
PTHR11003,GO:0005249,4,1
PTHR11006,GO:0005634,16,1
PTHR11006,GO:0005730,1,1
PTHR11022,GO:0050829,2,1
PTHR11024,GO:0006606,2,1
PTHR11062,GO:0042803,2,1
PTHR11071,GO:0050821,1,1
PTHR11071,GO:0061077,2,1
PTHR11073,GO:0005509,7,1
PTHR11085,GO:0005730,3,1
PTHR11085,GO:0005737,11,1
PTHR11085,GO:0008340,2,1
PTHR11085,GO:0016575,8,1
PTHR11085,GO:0017136,9,1
PTHR11085,GO:0032041,1,1
PTHR11097,GO:0005730,2,1
PTHR11132,GO:0005457,5,1
PTHR11132,GO:0005461,2,1
PTHR11132,GO:0005462,1,1
PTHR11132,GO:0005463,1,1
PTHR11132,GO:0015786,5,1
PTHR11132,GO:0015787,2,1
PTHR11132,GO:0015789,1,1
PTHR11132,GO:0072334,6,1
PTHR11132,GO:1990569,1,1
PTHR11132,GO:1990570,6,1
PTHR11136,GO:0004326,7,1
PTHR11139,GO:0000184,2,1
PTHR11202,GO:0005173,2,1
PTHR11219,GO:0042803,4,1
PTHR11232,GO:0008432,1,1
PTHR11232,GO:0016324,1,1
PTHR11255,GO:0005634,5,1
PTHR11256,GO:0043066,18,1
PTHR11256,GO:0043280,2,1
PTHR11256,GO:0046982,18,1
PTHR11256,GO:0051881,4,1
PTHR11264,GO:0005739,4,1
PTHR11266,GO:0005777,3,1
PTHR11267,GO:0003700,9,1
PTHR11339,GO:0030168,1,1
PTHR11347,GO:0006939,1,1
PTHR11347,GO:0016020,7,1
PTHR11347,GO:0047555,11,1
PTHR11351,GO:0004768,13,1
PTHR11361,GO:0007131,7,1
PTHR11361,GO:0032137,8,1
PTHR11361,GO:0043570,9,1
PTHR11384,GO:0005777,8,1
PTHR11404,GO:0006970,3,1
PTHR11404,GO:0009737,3,1
PTHR11407,GO:0042742,2,1
PTHR11407,GO:0050829,3,1
PTHR11409,GO:0004000,10,1
PTHR11409,GO:0006154,6,1
PTHR11430,GO:0004667,3,1
PTHR11437,GO:0001530,2,1
PTHR11437,GO:0043152,1,1
PTHR11437,GO:0050829,9,1
PTHR11437,GO:0050830,9,1
PTHR11451,GO:0002161,4,1
PTHR11451,GO:0004829,8,1
PTHR11451,GO:0006435,5,1
PTHR11455,GO:0000719,2,1
PTHR11455,GO:0016301,1,1
PTHR11455,GO:0045892,10,1
PTHR11455,GO:0046777,1,1
PTHR11461,GO:0005634,3,1
PTHR11461,GO:0030414,1,1
PTHR11475,GO:0050830,3,1
PTHR11481,GO:0045576,1,1
PTHR11482,GO:0004586,7,1
PTHR11485,GO:0005506,4,1
PTHR11486,GO:0005576,3,1
PTHR11486,GO:0006915,1,1
PTHR11486,GO:0008283,5,1
PTHR11486,GO:0030878,3,1
PTHR11501,GO:0044304,1,1
PTHR11516,GO:0004739,5,1
PTHR11527,GO:0009408,25,1
PTHR11528,GO:0009408,5,1
PTHR11532,GO:0005615,3,1
PTHR11534,GO:0005654,4,1
PTHR11534,GO:0043966,1,1
PTHR11534,GO:0043967,1,1
PTHR11545,GO:0097452,1,1
PTHR11561,GO:0005829,2,1
PTHR11561,GO:0051591,1,1
PTHR11566,GO:0005739,14,1
PTHR11566,GO:0005829,12,1
PTHR11566,GO:0005886,11,1
PTHR11567,GO:0003993,5,1
PTHR11568,GO:0035565,1,1
PTHR11589,GO:0045773,1,1
PTHR11592,GO:0004602,18,1
PTHR11592,GO:0008379,2,1
PTHR11606,GO:0005737,2,1
PTHR11626,GO:0004310,4,1
PTHR11626,GO:0051996,2,1
PTHR11630,GO:0005634,30,1
PTHR11630,GO:0006260,2,1
PTHR11654,GO:0015112,5,1
PTHR11655,GO:0005829,1,1
PTHR11662,GO:0015319,1,1
PTHR11670,GO:0003723,4,1
PTHR11670,GO:0003994,12,1
PTHR11670,GO:0030350,7,1
PTHR11675,GO:0016757,1,1
PTHR11679,GO:0008333,2,1
PTHR11679,GO:0019905,11,1
PTHR11679,GO:0030348,3,1
PTHR11679,GO:0030897,5,1
PTHR11679,GO:0097352,2,1
PTHR11685,GO:0019005,1,1
PTHR11686,GO:0031638,1,1
PTHR11686,GO:0036374,6,1
PTHR11691,GO:0051607,11,1
PTHR11699,GO:0042573,5,1
PTHR11700,GO:0005829,3,1
PTHR11706,GO:0005381,7,1
PTHR11706,GO:0005384,7,1
PTHR11706,GO:0005385,1,1
PTHR11706,GO:0009986,2,1
PTHR11706,GO:0015086,6,1
PTHR11711,GO:0005829,12,1
PTHR11711,GO:0032154,4,1
PTHR11716,GO:0050482,2,1
PTHR11743,GO:0015267,2,1
PTHR11746,GO:0047763,2,1
PTHR11751,GO:0004021,6,1
PTHR11758,GO:0005739,1,1
PTHR11758,GO:0005829,1,1
PTHR11769,GO:0031362,2,1
PTHR11771,GO:0005634,3,1
PTHR11771,GO:0007623,1,1
PTHR11771,GO:0009409,1,1
PTHR11771,GO:0009536,1,1
PTHR11771,GO:0009611,7,1
PTHR11771,GO:0009620,3,1
PTHR11771,GO:0009723,1,1
PTHR11771,GO:0009751,1,1
PTHR11771,GO:0009753,4,1
PTHR11771,GO:0016702,2,1
PTHR11771,GO:0043651,5,1
PTHR11778,GO:0005524,2,1
PTHR11778,GO:0006434,3,1
PTHR11782,GO:0005615,2,1
PTHR11782,GO:0005886,4,1
PTHR11782,GO:0016887,7,1
PTHR11782,GO:0043262,4,1
PTHR11783,GO:0080131,1,1
PTHR11801,GO:0003700,6,1
PTHR11801,GO:0006357,2,1
PTHR11804,GO:0005739,2,1
PTHR11804,GO:0005829,3,1
PTHR11827,GO:0016324,7,1
PTHR11848,GO:0001654,5,1
PTHR11848,GO:0003215,1,1
PTHR11848,GO:0017015,1,1
PTHR11848,GO:0045893,18,1
PTHR11890,GO:0019966,2,1
PTHR11905,GO:0009897,6,1
PTHR11909,GO:0005730,3,1
PTHR11909,GO:0090090,2,1
PTHR11911,GO:0003938,8,1
PTHR11920,GO:0007635,6,1
PTHR11920,GO:1902074,4,1
PTHR11929,GO:0017060,3,1
PTHR11941,GO:0005777,3,1
PTHR11946,GO:0005829,3,1
PTHR11960,GO:0000340,15,1
PTHR11960,GO:0034059,1,1
PTHR11964,GO:0005829,6,1
PTHR11972,GO:0050832,3,1
PTHR11977,GO:0030042,3,1
PTHR11977,GO:0045010,1,1
PTHR11977,GO:0051016,3,1
PTHR11977,GO:0051592,1,1
PTHR11984,GO:0086065,1,1
PTHR12025,GO:0043117,3,1
PTHR12025,GO:0043184,3,1
PTHR12027,GO:0031016,1,1
PTHR12027,GO:0090090,9,1
PTHR12035,GO:0033691,4,1
PTHR12093,GO:0006935,1,1
PTHR12129,GO:0034483,1,1
PTHR12131,GO:0006401,1,1
PTHR12143,GO:0000224,6,1
PTHR12174,GO:0042500,6,1
PTHR12245,GO:0019005,1,1
PTHR12247,GO:0005730,3,1
PTHR12269,GO:0000932,2,1
PTHR12277,GO:0004622,1,1
PTHR12277,GO:0005737,2,1
PTHR12287,GO:0030676,3,1
PTHR12287,GO:0051015,1,1
PTHR12305,GO:0006935,1,1
PTHR12305,GO:0046856,6,1
PTHR12308,GO:0005886,13,1
PTHR12322,GO:0043565,7,1
PTHR12358,GO:0001729,7,1
PTHR12358,GO:0005730,1,1
PTHR12385,GO:0015220,3,1
PTHR12396,GO:0008327,7,1
PTHR12411,GO:0006508,20,1
PTHR12411,GO:0008234,8,1
PTHR12411,GO:0060441,1,1
PTHR12415,GO:0005737,1,1
PTHR12450,GO:0004674,4,1
PTHR12463,GO:0016706,1,1
PTHR12474,GO:0098869,1,1
PTHR12483,GO:0005375,13,1
PTHR12483,GO:0006825,7,1
PTHR12522,GO:0035218,1,1
PTHR12550,GO:0003682,2,1
PTHR12591,GO:0004346,7,1
PTHR12592,GO:0005739,1,1
PTHR12621,GO:0005509,1,1
PTHR12628,GO:0035064,6,1
PTHR12629,GO:0050072,1,1
PTHR12692,GO:0015693,3,1
PTHR12702,GO:0005829,1,1
PTHR12771,GO:0005096,3,1
PTHR12777,GO:0005829,1,1
PTHR12835,GO:0018271,1,1
PTHR12932,GO:0001578,4,1
PTHR12958,GO:0000122,2,1
PTHR12958,GO:0003714,1,1
PTHR13003,GO:0000776,1,1
PTHR13068,GO:0006390,1,1
PTHR13107,GO:0016422,2,1
PTHR13112,GO:0000184,4,1
PTHR13138,GO:0046540,1,1
PTHR13140,GO:0005524,10,1
PTHR13140,GO:0005905,1,1
PTHR13140,GO:0007368,2,1
PTHR13140,GO:0016887,4,1
PTHR13140,GO:0042803,1,1
PTHR13140,GO:0051646,2,1
PTHR13140,GO:0071907,1,1
PTHR13182,GO:0007117,1,1
PTHR13348,GO:0008033,1,1
PTHR13364,GO:0030897,2,1
PTHR13393,GO:0048024,1,1
PTHR13693,GO:0004758,12,1
PTHR13710,GO:0000723,5,1
PTHR13710,GO:0005730,4,1
PTHR13718,GO:0005730,2,1
PTHR13743,GO:0000331,1,1
PTHR13743,GO:0006907,1,1
PTHR13743,GO:0006909,2,1
PTHR13759,GO:0004713,1,1
PTHR13817,GO:0007156,4,1
PTHR13843,GO:0051015,1,1
PTHR13874,GO:0014824,3,1
PTHR13874,GO:0030593,2,1
PTHR13890,GO:0015095,11,1
PTHR13900,GO:0004402,2,1
PTHR13902,GO:0004672,5,1
PTHR13902,GO:0005524,2,1
PTHR14002,GO:0002040,1,1
PTHR14002,GO:0007179,3,1
PTHR14002,GO:0010468,1,1
PTHR14089,GO:0005634,5,1
PTHR14149,GO:0005096,1,1
PTHR14191,GO:0005634,2,1
PTHR14226,GO:0004622,3,1
PTHR14239,GO:0008823,3,1
PTHR14239,GO:0015677,3,1
PTHR14239,GO:0052851,3,1
PTHR14239,GO:0098706,3,1
PTHR14299,GO:0043280,1,1
PTHR14313,GO:0042802,1,1
PTHR14313,GO:0051260,1,1
PTHR14453,GO:0003950,3,1
PTHR14453,GO:0070212,3,1
PTHR14453,GO:0070403,2,1
PTHR14559,GO:0051092,2,1
PTHR14789,GO:0005540,1,1
PTHR14949,GO:0001701,1,1
PTHR14950,GO:0016442,2,1
PTHR14950,GO:0031054,5,1
PTHR14969,GO:0042577,1,1
PTHR15012,GO:0051017,1,1
PTHR15036,GO:0050885,2,1
PTHR15137,GO:0005669,3,1
PTHR15241,GO:0005829,9,1
PTHR15241,GO:0005844,2,1
PTHR15481,GO:0000387,1,1
PTHR15597,GO:0005737,4,1
PTHR15670,GO:0005096,1,1
PTHR15741,GO:0042803,2,1
PTHR15741,GO:0046982,2,1
PTHR15749,GO:0000724,1,1
PTHR16290,GO:0000290,2,1
PTHR16466,GO:0042162,3,1
PTHR16469,GO:0038065,1,1
PTHR16469,GO:0070527,1,1
PTHR16557,GO:0006307,2,1
PTHR16675,GO:0030881,6,1
PTHR16675,GO:0042270,2,1
PTHR16675,GO:0042612,4,1
PTHR16675,GO:0046977,2,1
PTHR16833,GO:0043392,1,1
PTHR17223,GO:0030282,1,1
PTHR18874,GO:0000776,1,1
PTHR18884,GO:0003924,5,1
PTHR18896,GO:0016036,1,1
PTHR18898,GO:0006606,1,1
PTHR18919,GO:0005777,2,1
PTHR18952,GO:0016323,3,1
PTHR18966,GO:0060079,9,1
PTHR18976,GO:0001540,3,1
PTHR18976,GO:0034362,4,1
PTHR18976,GO:0042803,2,1
PTHR19139,GO:0005372,9,1
PTHR19139,GO:0015250,16,1
PTHR19211,GO:0042254,1,1
PTHR19241,GO:0033344,6,1
PTHR19302,GO:0043015,10,1
PTHR19321,GO:0007020,1,1
