id,go_id,p0_025,p0_500,p0_975,Qualifier,Go_Evidence_Code,annotation
A0A0B4J2U9,GO:0004017,0.916413782628833,0.962413113435284,0.986709028036417,,,YES
A0A0D1E7K7,GO:0007019,0.92204192690067,0.960645521972468,0.983554125379679,,,YES
A0A0G2JY48,GO:0004713,0.903310507689697,0.946623111292028,0.974669576466607,,,YES
A0A0G2K1M7,GO:0005229,0.0238093375804856,0.0501052773544598,0.0881778750546015,,,NOT
A0A0G2K5K1,GO:0005229,0.0244653577875438,0.0515788286800253,0.0909342723168841,,,NOT
A0A139WK63,GO:0000902,0.90716493746109,0.959187880066914,0.985902991769656,,,YES
A0A1B8Y922,GO:0004867,0.92322822813997,0.9694064761083,0.985624481277843,,,YES
A0A1D5Q3B6,GO:0001730,0.911502507283402,0.950112628292475,0.974735395402054,,,YES
A0A1D5Q656,GO:0008253,0.94131035205909,0.971758442352392,0.987582794207182,,,YES
A0A1D5Q794,GO:0005388,0.913269659824844,0.954143599435453,0.977566668480519,,,YES
A0A1D5QFA9,GO:0001580,0.936260216413729,0.972638215762935,0.985910468274508,,,YES
A0A1D5QFA9,GO:0033038,0.932452445706798,0.973140351603869,0.98666255004766,,,YES
A0A1D5QKD3,GO:0006468,0.906113489073215,0.957254978834843,0.980215489900216,,,YES
A0A1D5QU54,GO:0004571,0.926479941906793,0.966433948673084,0.985028111680976,,,YES
A0A1D5RK87,GO:0005615,0.930647272373094,0.963294437068324,0.983540654876777,,,YES
A0A1D6LY93,GO:0051014,0.025128492800709,0.0506798740035587,0.0957906173364159,,,NOT
A0A1D8PKA4,GO:0007019,0.912910751661497,0.953241590541882,0.980559810943239,,,YES
A7E8H8,GO:0004017,0.90627976786939,0.948527669408905,0.978462220599124,,,YES
A7F2E5,GO:0007019,0.907337795634346,0.950337622576735,0.979867976829345,,,YES
A7RGY3,GO:0007019,0.901161153835341,0.957517007384507,0.982199728878583,,,YES
A7S170,GO:0004017,0.902024348809393,0.95205824578766,0.982687625120764,,,YES
